,Dmean,SP-3,SP-4,SP-5,MPC2,MPC3,MPC4,piPC2,MWC2,MWC3,MWC4,MWC5,MWC6,SRW4,SRW6,SRW8
895,-7.599999999999999,-0.22234282,-0.1334991,-0.042268027,-0.26968533,-0.16813032,-0.08339551,0.22086164,-0.03924557,0.024376154,0.05776697,0.10354403,0.13069405,-0.031570144,0.015794523,0.053272605
896,-8.1,0.036531083,0.13190715,0.2751566,-0.06133638,0.082625575,0.14051677,0.041549996,0.1794478,0.23866017,0.24846604,0.28253847,0.28963843,0.18101133,0.23840967,0.2929189
897,-6.2,-0.5625143,-0.5571544,-0.62146026,-0.63429606,-0.59799755,-0.63073665,-0.42724073,-0.44467014,-0.40619883,-0.40968573,-0.3901559,-0.39596832,-0.4433529,-0.40730575,-0.36624774
898,-7.2,-0.31949615,-0.26042077,-0.17679894,-0.37385982,-0.34724164,-0.33218694,0.058624025,-0.106726006,-0.09378378,-0.1152846,-0.11094964,-0.12798582,-0.11541993,-0.12074958,-0.120360136
899,-7.7,0.3205864,0.29900548,0.40856057,0.2511871,0.33338147,0.28979164,0.3977237,0.42762578,0.46857193,0.4938871,0.516293,0.531645,0.43612853,0.5420179,0.6265826
900,-6.8,0.26110625,0.35063747,0.1268475,0.19909984,0.22591464,0.2151542,0.7976525,0.42762578,0.42900875,0.40331218,0.38775587,0.36268184,0.42018178,0.37174514,0.32211626
901,-6.266666666666667,-0.16025408,-0.1410702,-0.43003896,-0.2175981,-0.23977485,-0.28242865,0.34071395,0.05762303,0.049558714,0.013755749,-0.005620108,-0.0359575,0.048612144,-0.024405038,-0.09558153
902,-3.2999999999999994,-1.6122003,-1.541819,-1.5916295,-1.6239537,-1.5651989,-1.4766275,-3.2491271,-2.585862,-2.683815,-2.7864096,-2.8384874,-2.8893597,-2.6470313,-2.8534677,-2.962913
903,-7.466666666666666,0.394241,0.3051233,0.09691005,0.5637105,0.19009237,0.016121065,0.4664934,0.736438,0.60926235,0.5373153,0.43909508,0.3787785,0.7154177,0.56212,0.40747586
904,-4.699999999999999,-1.307307,-1.2721009,-1.2134762,-1.3635174,-1.2786207,-1.227836,-1.2712796,-1.763198,-1.7158245,-1.7325581,-1.6805367,-1.6848109,-1.7797754,-1.7583377,-1.6781999
905,-5.866666666666667,-0.7264053,-0.7632396,-0.8943418,-0.84264505,-0.74128664,-0.7551324,-0.37218502,-0.75745994,-0.6705527,-0.6537963,-0.59451175,-0.5822994,-0.7497111,-0.6920501,-0.6270458
906,-6.099999999999999,-0.9603088,-0.9073738,-0.7650573,-0.99890673,-0.920398,-0.85464895,-0.8841792,-1.017932,-0.9383184,-0.9064475,-0.8425396,-0.81849235,-1.0098119,-0.9628502,-0.897137
907,-11.0,2.1354444,2.4927907,2.6269968,2.1263278,2.4468954,2.777706,1.4262717,1.5137857,1.5374384,1.5645096,1.5629696,1.5734977,1.5193472,1.5492374,1.5513355
908,-7.0,0.4452428,0.5547052,0.4107295,0.61579776,0.33338147,0.28979164,1.0954412,0.7797318,0.67114776,0.61057866,0.5244735,0.4816801,0.755873,0.63198453,0.51223624
909,-7.300000000000001,1.3803185,0.9815187,0.99191976,1.3971064,1.2289382,0.96152854,0.7864327,1.1996818,1.1390113,1.1074857,1.0686399,1.0443332,1.1928893,1.1573805,1.1201004
910,-4.6,-1.075955,-0.8177135,-0.70730984,-1.050994,-0.920398,-0.70537406,-1.7205487,-1.1935976,-1.029942,-0.9064475,-0.8049054,-0.7091601,-1.1551461,-0.8926008,-0.6182595
911,-6.400000000000001,-0.23313989,-0.15052949,-0.26795086,-0.32177258,-0.23977485,-0.23267037,-0.25678146,-0.07268178,-0.027131964,-0.02641159,-0.0075760726,-0.009894223,-0.07301628,-0.057283398,-0.045756143
912,-6.533333333333334,-0.23313989,-0.15052949,-0.26795086,-0.32177258,-0.23977485,-0.23267037,-0.25678146,-0.07268178,-0.027131964,-0.02641159,-0.0075760726,-0.009894223,-0.07301628,-0.057283398,-0.045756143
913,-7.5,0.1275409,0.17530778,0.114355884,0.19909984,0.26173693,0.28979164,0.26676455,0.34849933,0.40887818,0.48284265,0.52718943,0.58132946,0.43612853,0.5876125,0.6891757
914,-4.466666666666667,-1.5393898,-1.4969552,-1.409743,-1.5718664,-1.4935544,-1.40199,-1.8658754,-2.46099,-2.4521275,-2.4981723,-2.478933,-2.5013027,-2.4839122,-2.4911244,-2.4499311
915,-7.5,0.11269919,0.13452156,0.26348996,0.042838104,0.2975592,0.36442906,-0.19687213,0.1794478,0.32589084,0.43026575,0.5258318,0.5955476,0.21714859,0.4284099,0.6052722
916,-3.4,-1.7360706,-1.6382422,-1.6773717,-1.5718664,-1.6368434,-1.5263858,-3.040987,-2.585862,-2.7470107,-2.622772,-2.7463334,-2.6137295,-2.5636587,-2.509302,-2.4537356
917,-4.4,-1.3855304,-1.5674733,-1.5965332,-1.4676919,-1.4219098,-1.4517484,-2.391163,-2.1297076,-2.1097674,-2.1352904,-2.0977137,-2.1083682,-2.130149,-2.0915644,-2.0382893
918,-4.533333333333333,-1.5201554,-1.5708017,-1.5156947,-1.4676919,-1.4935544,-1.4517484,-2.391163,-2.1297076,-2.2007794,-2.2135422,-2.2348988,-2.2452724,-2.130149,-2.1790276,-2.208656
919,-5.333333333333333,-0.8327491,-0.7337571,-0.7716792,-0.7905578,-0.7771089,-0.6804949,-0.97329825,-0.66263497,-0.6328484,-0.60920435,-0.57130134,-0.5447425,-0.66095734,-0.7042797,-0.72379494
920,-5.466666666666666,-1.1743832,-1.195876,-1.1934754,-1.2593429,-1.1711539,-1.1531986,-1.1326085,-1.5288445,-1.4553455,-1.4481152,-1.3862768,-1.3741578,-1.5315752,-1.4615973,-1.3616294
921,-5.033333333333333,-1.2743157,-1.311735,-1.2564622,-1.3635174,-1.2786207,-1.2527152,-1.3449214,-1.763198,-1.7158245,-1.7474556,-1.6991066,-1.7135276,-1.7797754,-1.7583377,-1.7054448
922,-5.033333333333334,-1.4723358,-1.3876612,-1.3888456,-1.4676919,-1.4219098,-1.3273526,-1.5862705,-2.1297076,-2.1097674,-2.0975592,-2.081437,-2.059942,-2.130149,-2.0915644,-2.015484
923,-5.566666666666666,-0.9684719,-1.0065578,-0.83542,-0.8947323,-0.99204254,-0.9790446,-0.6159158,-0.8067357,-0.851366,-0.8715075,-0.8883042,-0.9091992,-0.81136,-0.86531544,-0.91043127
924,-3.8333333333333335,-1.4960592,-1.4078643,-1.4201452,-1.5197792,-1.4577321,-1.377111,-2.8547993,-2.1297076,-2.2007794,-2.2958357,-2.3181324,-2.3673062,-2.1956515,-2.4031177,-2.4962468
925,-5.433333333333334,-1.067678,-1.0696943,-1.0539037,-1.1030812,-1.0995094,-1.0785612,-1.0040319,-1.1331928,-1.1518564,-1.1961975,-1.1934144,-1.2131561,-1.1551461,-1.2184345,-1.2215489
926,-5.233333333333333,-0.9744336,-1.0155427,-0.9703232,-1.050994,-1.0278648,-1.0288029,-0.94308954,-1.017932,-1.029942,-1.0837489,-1.074963,-1.1024698,-1.04508,-1.1129876,-1.1211238
927,-8.7,0.28134182,0.16328889,0.14631724,0.19909984,0.11844785,0.016121065,0.45295215,0.42762578,0.39872217,0.36001396,0.32366878,0.28780687,0.42018178,0.3813253,0.33821598
928,-5.566666666666666,-0.7711956,-0.907076,-0.95189726,-0.7905578,-1.0278648,-1.1034404,-0.49565524,-0.40396455,-0.6515968,-0.9064475,-1.0954225,-1.2864547,-0.49538183,-0.9628502,-1.3725563
929,-5.333333333333333,-0.88121486,-0.9968035,-1.0261521,-0.8947323,-1.0995094,-1.1531986,-0.69220734,-0.5723822,-0.80949646,-1.0544094,-1.2336231,-1.4159609,-0.66095734,-1.1129876,-1.5064094
